,DATE,NASDAQ.AAPL,NASDAQ.ADP,NASDAQ.CBOE,NASDAQ.CSCO,NASDAQ.EBAY
0,2017-04-03 13:30:00,143.68,102.23,81.03,33.74,33.3975
1,2017-04-03 13:31:00,143.7,102.14,81.21,33.88,33.395
2,2017-04-03 13:32:00,143.6901,102.2125,81.21,33.9,33.41
3,2017-04-03 13:33:00,143.64,102.14,81.13,33.8499,33.335
4,2017-04-03 13:34:00,143.66,102.06,81.12,33.84,33.4
5,2017-04-03 13:35:00,143.78,102.04,81.22,33.88,33.43
6,2017-04-03 13:36:00,143.864,102.33,81.16,33.9,33.465
7,2017-04-03 13:37:00,143.81,102.37,81.16,33.89,33.53
8,2017-04-03 13:38:00,143.815,102.38,81.16,33.92,33.565
9,2017-04-03 13:39:00,143.8,102.33,81.13,33.895,33.6
10,2017-04-03 13:40:00,143.89,102.2,81.18,33.895,33.65
11,2017-04-03 13:41:00,143.97,102.28,81.185,33.89,33.69
12,2017-04-03 13:42:00,143.9199,102.27,81.2,33.8949,33.75
13,2017-04-03 13:43:00,144.0239,102.31,81.29,33.9,33.8
14,2017-04-03 13:44:00,144.05,102.32,81.41,33.91,33.79
15,2017-04-03 13:45:00,144.0638,102.28,81.35,33.895,33.79
16,2017-04-03 13:46:00,144.02,102.3,81.174,33.895,33.775
17,2017-04-03 13:47:00,144.02,102.21,80.979,33.875,33.76
18,2017-04-03 13:48:00,143.97,102.17,80.97,33.835,33.76
19,2017-04-03 13:49:00,144.03,102.18,80.98,33.8539,33.81
20,2017-04-03 13:50:00,143.98,102.15,80.9866,33.8366,33.81
21,2017-04-03 13:51:00,143.9,102.19,81.05,33.82,33.78
22,2017-04-03 13:52:00,143.91,102.22,81.05,33.83,33.775
23,2017-04-03 13:53:00,143.91,102.21,81.09,33.82,33.815
24,2017-04-03 13:54:00,143.86,102.21,81.09,33.8,33.87
25,2017-04-03 13:55:00,143.86,102.17,81.13,33.8,33.88
26,2017-04-03 13:56:00,143.8935,102.19,81.1,33.775,33.82
27,2017-04-03 13:57:00,143.93,102.2,81.065,33.79,33.8
28,2017-04-03 13:58:00,143.95,102.25,81.04,33.7762,33.765
29,2017-04-03 13:59:00,143.87,102.24,81.03,33.785,33.79
30,2017-04-03 14:00:00,143.85,102.24,81.02,33.77,33.805
31,2017-04-03 14:01:00,143.91,102.28,81.08,33.786,33.82
32,2017-04-03 14:02:00,143.91,102.21,80.96,33.77,33.81
33,2017-04-03 14:03:00,143.93,102.27,81.01,33.785,33.815
34,2017-04-03 14:04:00,144.0,102.275,81.01,33.77,33.83
35,2017-04-03 14:05:00,144.05,102.26,81.08,33.77,33.81
36,2017-04-03 14:06:00,143.97,102.19,81.05,33.73,33.78
37,2017-04-03 14:07:00,143.82,102.14,81.03,33.715,33.735
38,2017-04-03 14:08:00,143.7627,102.145,81.025,33.71,33.755
39,2017-04-03 14:09:00,143.76,102.135,81.04,33.72,33.76
40,2017-04-03 14:10:00,143.73,102.205,80.9,33.735,33.78
41,2017-04-03 14:11:00,143.62,102.1,80.77,33.69,33.72
42,2017-04-03 14:12:00,143.56,102.09,80.83,33.68,33.64
43,2017-04-03 14:13:00,143.58,102.08,80.86,33.67,33.61
44,2017-04-03 14:14:00,143.77,102.14,80.82,33.71,33.635
45,2017-04-03 14:15:00,143.709,102.14,80.81,33.7101,33.64
46,2017-04-03 14:16:00,143.68,102.11,80.81,33.725,33.6538
47,2017-04-03 14:17:00,143.75,102.1,80.86,33.725,33.61
48,2017-04-03 14:18:00,143.8393,102.11,80.94,33.7343,33.66
49,2017-04-03 14:19:00,143.82,102.04,80.95,33.73,33.62
50,2017-04-03 14:20:00,143.89,102.04,80.84,33.725,33.65
51,2017-04-03 14:21:00,143.8,102.0,80.84,33.72,33.64
52,2017-04-03 14:22:00,143.8101,101.97,80.84,33.71,33.64
53,2017-04-03 14:23:00,143.84,101.9986,80.85,33.72,33.61
54,2017-04-03 14:24:00,143.815,101.97,80.88,33.72,33.575
55,2017-04-03 14:25:00,143.87,101.955,80.87,33.71,33.57
56,2017-04-03 14:26:00,143.97,102.02,80.88,33.74,33.59
57,2017-04-03 14:27:00,143.95,102.03,80.88,33.735,33.57
58,2017-04-03 14:28:00,143.94,102.005,80.9,33.74,33.535
59,2017-04-03 14:29:00,143.9,101.96,80.86,33.7301,33.54
